날짜,시도지역코드,발생건수(건)
20140101,11,247
20140101,26,91
20140101,27,96
20140101,28,83
20140101,29,57
20140101,30,73
20140101,31,36
20140101,41,325
20140101,42,44
20140101,43,73
20140101,44,90
20140101,45,155
20140101,46,101
20140101,47,108
20140101,48,97
20140101,49,57
20140101,99,1734
20140102,11,8811
20140102,26,3258
20140102,27,2886
20140102,28,1888
20140102,29,1135
20140102,30,1437
20140102,31,1032
20140102,41,10135
20140102,42,1475
20140102,43,1371
20140102,44,2017
20140102,45,2161
20140102,46,1663
20140102,47,3113
20140102,48,3140
20140102,49,663
20140102,99,46198
20140103,11,7829
20140103,26,2907
20140103,27,2424
20140103,28,1743
20140103,29,929
20140103,30,1273
20140103,31,848
20140103,41,8831
20140103,42,1196
20140103,43,1203
20140103,44,1779
20140103,45,1915
20140103,46,1472
20140103,47,2614
20140103,48,2860
20140103,49,634
20140103,99,40468
20140104,11,6350
20140104,26,2246
20140104,27,2076
20140104,28,1426
20140104,29,817
20140104,30,1058
20140104,31,691
20140104,41,7399
20140104,42,767
20140104,43,972
20140104,44,1399
20140104,45,1404
20140104,46,1153
20140104,47,2020
20140104,48,2094
20140104,49,446
20140104,99,32325
20140105,11,234
20140105,26,71
20140105,27,60
20140105,28,78
20140105,29,50
20140105,30,37
20140105,31,30
20140105,41,454
20140105,42,17
20140105,43,53
20140105,44,58
20140105,45,55
20140105,46,65
20140105,47,32
20140105,48,55
20140105,49,37
20140105,99,1386
20140106,11,9782
20140106,26,3719
20140106,27,3137
20140106,28,2288
20140106,29,1087
20140106,30,1532
20140106,31,1016
20140106,41,11166
20140106,42,1509
20140106,43,1514
20140106,44,2181
20140106,45,2477
20140106,46,1944
20140106,47,3308
20140106,48,3508
20140106,49,768
20140106,99,50946
20140107,11,7886
20140107,26,2858
20140107,27,2493
20140107,28,1717
20140107,29,963
20140107,30,1239
20140107,31,813
20140107,41,8750
20140107,42,1255
20140107,43,1180
20140107,44,1781
20140107,45,1962
20140107,46,1487
20140107,47,2554
20140107,48,2615
20140107,49,592
20140107,99,40159
20140108,11,7171
20140108,26,2254
20140108,27,2179
20140108,28,1591
20140108,29,882
20140108,30,1029
20140108,31,693
20140108,41,7960
20140108,42,1032
20140108,43,1021
20140108,44,1574
20140108,45,1668
20140108,46,1234
20140108,47,2273
20140108,48,2326
20140108,49,462
20140108,99,35360
20140109,11,6369
20140109,26,2534
20140109,27,2023
20140109,28,1290
20140109,29,794
20140109,30,998
20140109,31,746
20140109,41,7118
20140109,42,1082
20140109,43,1034
20140109,44,1412
20140109,45,1593
20140109,46,1288
20140109,47,2129
20140109,48,2304
20140109,49,484
20140109,99,33208
20140110,11,7502
20140110,26,2717
20140110,27,2388
20140110,28,1572
20140110,29,863
20140110,30,1192
20140110,31,787
20140110,41,8163
20140110,42,1180
20140110,43,1066
20140110,44,1549
20140110,45,1800
20140110,46,1441
20140110,47,2378
20140110,48,2702
20140110,49,592
20140110,99,37903
20140111,11,6102
20140111,26,2102
20140111,27,2055
20140111,28,1344
20140111,29,772
20140111,30,1019
